,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
92,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.5,,,ug/kg,,2.5
93,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.5,,,ug/kg,,2.5
94,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.0,,,ug/kg,,1.0
95,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  0-1,SGS,17,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.0,,,ug/kg,,1.0
96,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.1,,0.22,ug/kg,,0.22
97,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.1,,0.27,ug/kg,,0.27
98,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.1,,0.27,ug/kg,,0.27
99,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.1,,0.27,ug/kg,,0.27
100,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.1,,0.27,ug/kg,,0.27
101,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-2  14-15,SGS,19,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.1,,0.27,ug/kg,,0.27
