,report,RTN,address,sample_id
732,FA72320 - 3 Beechnut - 02-27-2020 Final.pdf,2-0020923,,3-BEECH-MID
733,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,2-0020923,,305-CHEST-RAW
734,FA72315 - 343 Chestnut - 02-27-2020 Final.pdf,2-0020923,,343-CHEST-MID
735,FA72320 - 3 Beechnut - 02-27-2020 Final.pdf,2-0020923,,3-BEECH-RAW
736,FA72315 - 343 Chestnut - 02-27-2020 Final.pdf,2-0020923,,343-CHEST-TREATED
737,FA69694 - 305 Chestnut - 11-06-2019 Final.pdf,2-0020923,,305-CHEST-MID
739,FA72315 - 343 Chestnut - 02-27-2020 Final.pdf,2-0020923,,343-CHEST-RAW
740,FA72306 - 308 Chestnut - 02-05-2020 Final.pdf,2-0020923,,308-CHEST-RAW
741,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,2-0020923,,300-CHEST-RAW
742,FA72305 - 290 Chestnut 02-05-2020 Final.pdf,2-0020923,,290-CHEST-MID
743,FA69264 - 300 Chestnut - 10-23-2019 Final.pdf,2-0020923,,300-CHEST-MID
744,FA69263 -7 Beechnut - 10-23-2019 Final.pdf,2-0020923,,7-BEECH-MID
745,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,DUP-WELLS
747,FA72321 - 5 Beechnut - 02-05-2020 Final.pdf,2-0020923,,5-BEECH-RAW
748,FA72316 - 264 Chestnut - 02-05-2020 Final.pdf,2-0020923,,264-CHEST-TREATED
749,FA69701 - 264 Chestnut - 11-06-2019 Final.pdf,2-0020923,,264-CHEST-TREATED
750,FA72316 - 264 Chestnut - 02-05-2020 Final.pdf,2-0020923,,264-CHEST-MID
751,FA69266 - 307 Chestnut - 10-23-2019 Final.pdf,2-0020923,,307-CHEST-MID
752,FA72323 - 9 Beechnut - 02-05-2020 Final.pdf,2-0020923,,9-BEECH-MID
753,FA72323 - 9 Beechnut - 02-05-2020 Final.pdf,2-0020923,,9-BEECH-RAW
